work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,207000.0,USD,207000.0,US,100,US,M
2022,SE,FT,Data Scientist,153000.0,USD,153000.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,L
2022,SE,FT,Data Scientist,165000.0,USD,165000.0,US,100,US,L
2022,SE,FT,Data Scientist,179400.0,USD,179400.0,US,0,US,M
2022,SE,FT,Data Scientist,154000.0,USD,154000.0,US,0,US,M
2022,SE,FT,Data Scientist,136994.0,USD,136994.0,US,100,US,M
2022,SE,FT,Data Scientist,101570.0,USD,101570.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,172000.0,USD,172000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,151800.0,USD,151800.0,US,0,US,M
2022,SE,FT,Data Scientist,130240.0,USD,130240.0,US,0,US,M
2022,SE,FT,Data Scientist,179400.0,USD,179400.0,US,100,US,M
2022,SE,FT,Data Scientist,154000.0,USD,154000.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
